study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Weller 2017 ZnNi,Undoped,Undoped,12.0,0.6,0.66,400.0,673.0,245.0,260.0,0.9090909090909092,1.1111111111111112,0.55,0.33,,steel jar. 300rpm 48h,SPS 340C 10min 40MPA,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.273"
Ojha 2024,Undoped,Undoped,12.0,0.0,0.0,450.0,,140.0,140.0,0.0005,0.0005,1.15,1.27,,BM 200rpm 12h,HP 50MPa 2h 773K,HP,773.0,,95.0,,,,,Ojha. A.. R. A.. & Bathula. S. (2024). Augmentation in the thermoelectric performance by integrating the natural minerals with synthetic tetrahedrite compounds. Materials Science in Semiconductor Processing. 180. https://doi.org/10.1016/j.mssp.2024.108562
Lopez 2022,Undoped,Undoped,12.0,0.02,0.02,350.0,,138.0,,0.19,,0.65,,,MA YPSZ jar 350rpm 6h,HP 350C (1h) 5ton/cm^3,HP,623.0,,93.30628803245436,4.6,4.93,,,"López Cota, F. A., Díaz-Guillén, J. A., Juan Dura, O., López de la Torre, M. A., Rodríguez-Hernández, J., & Fernández Fuentes, A. (2021). Mechanosynthesis and thermoelectric properties of fe, zn, and cd-doped p-type tetrahedrite: Cu12-x mx sb4 s13. Materials, 14(13). https://doi.org/10.3390/ma14133449"
Rout 2024,Undoped,Undoped,11.95,0.7,,,,,,,,,,,Solid State,HP 773K 2h 80MPa,HP,773.0,,98.0,4.86,4.93,,,Rout. U.. & Mallik. R. C. (2024). Thermoelectric properties of Gd and Se double substituted tetrahedrite. Dalton Transactions. 53(8). 3511–3522. https://doi.org/10.1039/D3DT03795A
Kwak 2022,Cu deficient 11.9,Cu-excess/deficiency,11.9,0.7,0.91,450.0,723.0,155.0,157.0,4.1,3.9,0.82,0.82,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-0"
Kwak 2022,Cu deficient 11.8,Cu-excess/deficiency,11.8,0.65,0.83,450.0,723.0,155.0,157.0,3.5,3.5,0.82,0.82,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-1"
Kwak 2022,Cu deficient 11.7,Cu-excess/deficiency,11.7,0.6,0.8,450.0,723.0,150.0,152.0,4.5,4.3,1.0,0.97,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-1"
Kwak 2022,Cu excess 12.1,Cu-excess/deficiency,12.1,0.6,0.71,450.0,723.0,194.0,195.0,1.5,1.5,0.6,0.75,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-0"
Kwak 2022,Cu excess 12.2,Cu-excess/deficiency,12.2,0.68,0.79,450.0,723.0,204.0,205.0,1.5,1.5,0.6,0.65,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-0"
Kwak 2022,Cu excess 12.3,Cu-excess/deficiency,12.3,0.6,0.72,450.0,723.0,208.0,208.0,1.3,1.4,0.6,0.65,,steel jar. BM 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,99.0,,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, M.C. Nichols, Hand-",,"Kwak, S. G., & Kim, I. H. (2022). Thermoelectric properties of the off-stoichiometric tetrahedrites Cu12+mSb4S13. Journal of the Korean Physical Society, 80(11), 1054–1059. https://doi.org/10.1007/s40042-022-00476-0"
Vaqueiro 2017,Cu excess 13.5,Cu-excess/deficiency,13.5,,0.62,300.0,573.0,,175.0,,2.0,,0.6,,quartz tube.  773 K (48h). 723 K (2-4 days),HP 80MPa 723 K(30min),HP,723.0,,96.0,4.92,5.125,,,"Vaqueiro, P., Guélou, G., Kaltzoglou, A., Smith, R. I., Barbier, T., Guilmeau, E., & Powell, A. v. (2017). The Influence of Mobile Copper Ions on the Glass-Like Thermal Conductivity of Copper-Rich Tetrahedrites. Chemistry of Materials, 29(9), 4080–4090. https://doi.org/10.1021/acs.chemmater.7b00891"
Yan 2018,Cu13.5 Sb4 S13,Cu-excess/deficiency,13.5,0.85,1.0,450.0,723.0,180.0,190.0,2.09,2.0,0.48,0.5,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,Reduction in KL due to phase segregation. Cu ion mobility,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
Yan  2018,Cu13.5 Sb4 S12 Se,Se,13.5,0.8,1.1,450.0,723.0,159.73,177.0,3.77,3.9,0.76,0.81,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
Vaqueiro 2017,Cu excess 12.3,Cu-excess/deficiency,12.3,,0.3,300.0,573.0,,125.0,,2.5,,1.1,,silica tube. 773K (2 days),"723K 2-4 days + HP 723K, 30 min, 80MPa",HP,723.0,,96.0,4.92,5.125,,,"Vaqueiro, P., Guélou, G., Kaltzoglou, A., Smith, R. I., Barbier, T., Guilmeau, E., & Powell, A. v. (2017). The Influence of Mobile Copper Ions on the Glass-Like Thermal Conductivity of Copper-Rich Tetrahedrites. Chemistry of Materials, 29(9), 4080–4090. https://doi.org/10.1021/acs.chemmater.7b00891"
Yan 2018,Cu12.5 Sb4 S13,Cu-excess/deficiency,12.5,0.51,0.7,450.0,723.0,136.0,140.0,3.52,3.5,0.81,0.7,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
Yan 2018,Cu12.5 Sb4 S12 Se,Se,12.5,0.76,0.87,450.0,723.0,124.04,140.0,7.13,5.0,0.89,0.85,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
