trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
43,2022-06-14 15:40:00,18.88,8.7011,8.6338,22.0405,104.5189,-49.3065,0.8189,71.156,False,True,900,1,29
44,2022-06-14 15:40:00,21.4937,19.9794,19.8491,21.895,3.5179,-6.4446,0.25622,,True,False,900,1,29
45,2022-06-14 15:40:00,22.3215,20.5255,20.3616,22.6199,3.6873,2.7663,0.25513,,True,False,900,1,29
46,2022-06-14 15:40:00,22.2965,20.4124,20.2678,22.6187,5.2703,4.9706,0.22029,,True,False,900,1,29
47,2022-06-14 15:40:00,23.7609,8.3548,8.3221,24.0216,89.8057,167.629,0.39247,22.894,False,True,900,1,29
48,2022-06-14 15:40:00,24.2518,10.3419,10.2872,24.4607,83.6981,121.4115,0.2086,33.619,False,True,900,1,29
49,2022-06-14 15:40:00,23.1711,7.2995,7.2607,23.4003,92.2174,180.4983,0.49291,19.401,False,True,900,1,29
50,2022-06-14 15:40:00,24.4506,10.4926,10.4058,24.708,82.6056,126.2231,0.23652,32.291,False,True,900,1,29
51,2022-06-14 15:40:00,26.2435,11.7517,11.6048,26.5174,87.4326,139.2652,0.26577,35.672,False,True,900,1,29
52,2020-03-17 21:00:00,8.8766,6.9419,6.923,9.4549,9.9946,57.2445,0.2978,81.997,False,True,900,2,25
53,2020-03-17 21:00:00,10.1728,6.572,6.541,10.4115,15.9098,60.5314,0.28717,24.816,False,True,900,2,25
54,2020-03-17 21:00:00,10.6435,6.8024,6.7595,10.8684,16.2287,73.7672,0.328,19.806,False,True,900,2,25
55,2020-03-17 21:00:00,10.7084,6.696,6.6908,10.9988,13.6814,51.7766,0.26956,3.469,False,True,900,2,25
56,2020-03-17 21:00:00,9.9879,6.3888,6.3603,10.2207,16.5271,60.9808,0.29822,26.089,False,True,900,2,25
57,2020-03-17 21:00:00,10.4396,6.5672,6.5536,10.8238,15.9108,71.3549,0.30474,18.03,False,True,900,2,25
