eid,Al_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Sc_frac,Si_frac,Sn_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,condition,ph1,ph2,ph3,grain_size_param_1,grain_size_param_2,flag_1,flag_2,flag_3,YM_GPa,YM_err,YS_MPa,YS_err,UTS_MPa,UTS_err,DAR_pct,DAR_err,test_mode,HV,HV_err,Mo_equivalent,Mo_equivalent_class,ref_doi,ref_key,comments
Ti-18Nb-9Zr-6Sn-5Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.118,0.0,0.0,0.0,0.0295,0.0,0.7638,0.0,0.0,0.0591,As-cast,Ti-beta,Ti-alpha-dp,,,,0,1,0,72.0,,499.0,,519.0,,6.4,,tension,,,9.97,near,10.1016/j.msea.2017.01.047,jiang2017,"Copper-mold suction-cast, 10g samples. Alloy #2 from the study. Hardness not reported. Errors bars not reported. "
Ti-14Nb-9Zr-6Sn-5Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.0885,0.0,0.0,0.0,0.0293,0.0,0.7936,0.0,0.0,0.059,As-cast,Ti-beta,Ti-alpha-dp,,,,0,1,0,56.0,,566.0,,701.0,,13.6,,tension,,,8.88,near,10.1016/j.msea.2017.01.047,jiang2017,"Copper-mold suction-cast, 10g samples. Alloy #3 from the study. Hardness not reported. Errors bars not reported. "
Ti-15Nb-6Sn-5Zr-5Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.03160316031603161,0.09350935093509351,0.0,0.0,0.0,0.03130313031303131,0.0,0.8122812281228123,0.0,0.0,0.03130313031303131,As-cast,Ti-beta,Ti-alpha-dp,,,,0,1,0,55.0,,533.0,,692.0,,14.2,,tension,,,9.56,near,10.1016/j.msea.2017.01.047,jiang2017,"Copper-mold suction-cast, 10g samples. Alloy #7 from the study. Hardness not reported. Errors bars not reported. "
Ti-32Nb-7Zr-3Sn-0.3O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109,0.0,0.0,0.0,0.0137,0.0,0.7305,0.0,0.0,0.0449,ST-WQ,Ti-beta,,,3000.0,175.0,1,0,0,66.9,,806.0,,829.0,,15.4,,tension,282.0,,9.1,near,10.1016/j.msea.2017.02.045,lan2017,Grain size in the range of 150-200 um (Section 3.1). Hardness extracted from Fig. 7 (reduction = 0).
Ti-25Nb-2Mo-4Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.1524,0.0,0.0,0.0,0.0191,0.0,0.8167,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-alpha-dp,,,,0,0,1,53.1,,361.0,,511.0,,,,,,,9.0,near,10.1007/s11661-012-1324-0,guo2012,ST at 750 deg C for 1 h followed by quenching into water. Mechanical properties estimated from Fig. 2. YSIM at approx. 164 MPa.
Ti-12Mo-6Zr-2Fe,0.0,0.0,0.0,0.0188981101889811,0.0,0.0,0.0658934106589341,0.0,0.0,0.0,0.0,0.0,0.0,0.8805119488051195,0.0,0.0,0.03469653034696531,ST-AC,Ti-beta,,,2000.0,,1,0,0,79.5,,897.0,,931.5,,12.0,,tension,,,17.81,meta,10.1520/F1813-13.2,astmF1813,"Solution annealed, cooling condition not specified (assumed AC). Errors in composition assumed from Table 1. Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004"
Ti-6Al-4V,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.036,0.0,0.0,ST-AC,Ti-beta,Ti-alpha,,1300.0,,1,0,0,110.0,,760.0,,825.0,,8.0,,tension,,,-3.32,other,10.1520/F0136-12A.2,astmF0136,"Solution annealed, cooling condition not specified (assumed AC). Mechanical properties from large samples (distance between parallel sides > 44 mm). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004"
Ti-6Al-7Nb,0.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.8593,0.0,0.0,0.0,ST-AC,Ti-beta,Ti-alpha,,2000.0,,1,0,0,110.0,,800.0,,900.0,,10.0,,tension,,,-4.04,other,10.1520/F0562-13.2,astmF0562,"Solution annealed, cooling condition not specified (assumed AC). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004"
Ti-10Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.9714,0.0,0.0,0.0,ST-WQ,Ti-alpha-p,,,750.0,70.0,1,0,0,100.0,,396.0,,504.0,,21.0,,tension,,,2.2,rich,10.1016/j.msea.2003.12.011,zhou2004,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. 
Ti-30Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1018,0.8982,0.0,0.0,0.0,ST-WQ,Ti-alpha-dp,,,880.0,70.0,1,0,0,69.0,,441.0,,587.0,,21.0,,tension,,,6.6,near,10.1016/j.msea.2003.12.011,zhou2004,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. 
