strain,stress_MPa
0.0051296043656207,-0.0278107426590423
0.0137981710858671,1.2326194453430477
0.0175132711088298,3.5303549529721465
0.0199900044574716,6.064490711477134
0.021847554468953,8.378968588649656
0.0237051044804344,10.761018067176266
0.0261818378290762,13.39651122771238
0.0274202045033971,15.525117024229472
0.0292777545148785,18.00852390478721
0.0317544878635203,20.491980962276635
0.0336120378750016,22.7557801384336
0.0360887712236435,25.256130096261543
0.0385655045722853,27.655122652058367
0.0410422379209271,29.9865436065011
0.0447573379438898,32.453208117515416
0.0484724379668526,34.88608682785268
0.0528067213269758,37.26833701410608
0.0577601880242594,39.59995867627562
0.0633328380587035,41.79986589273638
0.070763038104629,43.86815901735178
0.0819083381735172,44.74580372969161
0.0868618048708008,42.626146152660766
0.0881001715451217,40.32881206048527
0.0899577215566031,37.87949204219477
0.091196088230924,35.44701474731109
0.0924344549052449,33.01453745242741
0.0936728215795658,30.480702755512603
0.0942920049167263,28.065068184035752
0.0949111882538868,25.666326512897427
0.0961495549282076,23.28452791902931
0.098007104939689,20.835207900738816
0.1004838382883308,18.3014735576874
0.1029605716369727,15.711429546840918
0.1054373049856145,13.504291277000933
0.1079140383342563,11.021235634965096
0.1103907716828981,8.909823800376714
0.1147250550430213,6.486043840320789
0.1221552550889468,4.459497922878612
0.1320621884835141,3.2693512799200306
0.1456842219010441,3.473169976479653
0.1580678886442532,4.234354030347092
0.1704515553874623,4.657680077444098
0.1815968554563505,5.621478581510388
0.1927421555252387,6.247419078806246
0.202649088919806,7.194224328670629
0.2150327556630151,8.41151669167813
0.2224629557089406,9.535496687370184
0.2305123390920265,11.629179339425065
0.2410384558237542,12.755099509809456
0.2503262058811611,11.752413883676766
0.2577564059270866,10.334012378421365
0.2689017059959748,10.720073690910226
0.2775702727162211,11.795164629483963
0.2870644172193481,13.569688544648074
0.2959393783853146,13.350800042934992
0.3038855645455405,13.266979478532503
0.3116253562600462,14.205162658966673
0.3196747396431321,15.780474597776646
0.3264857563518971,16.74030195610564
0.3332967730606621,18.42845464617261
0.3419653397809085,19.48327410434011
0.3518722731754758,20.01113542580916
0.3617792065700431,20.011938256716338
0.3729245066389313,19.52053406019286
0.380664298353437,18.391750220635103
0.3877849067307822,17.649039640454674
0.3952151067767077,16.06170913181407
0.4038836734969541,15.312366833827513
0.4144097902286818,15.167940898755091
0.42555509029757,15.89523879808209
0.4336044736806559,16.591878592141256
0.4435114070752232,18.052228012296663
0.45279915713263,18.498953235209115
0.4620869071900369,19.45246546827719
0.4726130239217647,19.547918718011793
0.4831391406534923,19.981229974516815
0.4918077073737387,19.96166097115437
0.5010954574311457,20.44555057481155
0.5134791241743547,20.73373341920039
0.5215285075574406,20.00461242468834
0.531435440952008,19.15401307853404
0.5413423743465753,18.283142251973516
0.5512493077411426,18.527202847755404
0.5630137911471912,18.27138412431215
0.573539907878919,17.941136285516023
0.5828276579363257,16.837093257352194
0.592734591330893,16.364894878780788
0.6032607080626208,17.00526482800653
0.613167641457188,16.66724434355251
0.6218362081774345,17.09364790912703
0.6317431415720017,17.803952554252106
0.641650074966569,18.87914384668924
0.6484610916753341,19.528383165937136
