symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
Fr,87,,,s,1.87,317.8,0.486,,15,1,,BCC,Francium,7,3,,,348,260,223,0.7,,,,,,,223,,1,258,U/Th decay series,synthetic,,,218,,1939,6,7,7,
Ra,88,215,45,s,5,246,0.1,113,9.6,2,,,Radium,7,4,,,283,221,201,0.9,,,159,,9.00E-07,8.90E-11,226,,1,292,U/Th decay series,litophile,,,173,159,1898,10,13,13,
Ac,89,195,22.54,d,10,203,0.35,292.9,10.5,3,5.31,FCC,Actinium,7,10,0.12,,247,215,186,1.1,,,406,,5.50E-10,,227,,1,293,U/Th decay series,synthetic,,,153,140,1899,14,48,33,27.2
Th,90,180,19.8,f,11.7,217,,513.7,16.11,,5.08,FCC,Thorium,7,10,0.118,,245,206,175,1.3,,,602,,9.6,1.00E-06,232.0377,,1,288,rare earth & related,litophile,,,143,136,1828,16,47,34,27.32
Pa,91,180,15,f,15.4,154,,481.2,16.7,,3.92,TET,Protactinium,7,10,,,243,200,169,1.5,,,563,,1.40E-06,5.00E-11,231.03588,1,1,285,U/Th decay series,litophile,,,138,129,1917,18,46,35,
U,92,175,12.5,f,19.1,129,,417,12.6,,2.85,ORC,Uranium,7,10,0.116,27.5,241,196,170,1.7,995.2,973.2,533,,2.7,0.0032,238.02891,,1,283,rare earth & related,litophile,,,134,118,1789,20,45,36,27.665
Np,93,175,21.1,f,20.2,151,,336,9.6,,4.72,ORC,Neptunium,7,10,,,239,190,171,1.3,,,464.8,,,,237,,1,281,,synthetic,,,136,116,1940,22,44,37,
Pu,94,175,,f,19.7,132,,343.5,2.8,,,MCL,Plutonium,7,10,,,243,187,172,1.3,,,345,,,,244,,1,278,,synthetic,,,135,,1940,24,43,38,
Am,95,175,20.8,f,12,131,,238.5,10,,,,Americium,7,10,,,244,180,166,,,,284,,,,243,,1,276,,synthetic,,,135,,1945,26,42,39,
Cm,96,,18.28,f,13.51,144,,,,,,,Curium,7,10,,,245,169,166,,,,386,,,,247,,1,276,,synthetic,,,136,,1944,28,41,40,
Bk,97,,,f,14.78,125,,,,,,,Berkelium,7,10,,,244,,168,,,,310,,,,247,,1,,,synthetic,,,139,,1949,30,40,41,
Cf,98,,,f,15.1,122,,,,,,,Californium,7,10,,,245,,168,,,,196,,,,251,,1,,,synthetic,,,140,,1950,32,39,42,
Es,99,,,f,8.84,118,,,,,,,Einsteinium,7,10,,,245,,165,,,,133,,,,252,,1,,,synthetic,,,140,,1952,34,38,43,
Fm,100,,,f,9.7,113,,,,,,,Fermium,7,10,,,245,,167,,,,,,,,257,,1,,,synthetic,,,,,1953,36,37,44,
Md,101,,,f,10.3,109,,,,,,,Mendelevium,7,10,,,246,,173,,,,,,,,258,,1,,,synthetic,,,139,,1955,38,36,45,
No,102,,,f,9.9,110,,,,,,,Nobelium,7,10,,,246,,176,,,,,,,,259,,1,,,synthetic,,,,,1957,40,35,46,
Lr,103,,,f,15.6,320,,,,,,,Lawrencium,7,8,,,246,,161,,,,,,,,262,,1,,,synthetic,,,141,,1961,42,34,47,
Rf,104,,,d,23.3,112,,,,4,,,Rutherfordium,7,8,,,,,157,,,,,,,,267,,1,,,synthetic,,,140,131,1969,46,,,
Db,105,,,d,29.3,42,,,,5,,,Dubnium,7,8,,,,,149,,,,,,,,268,,1,,,synthetic,,,136,126,1970,50,,,
